Sample	Peak_Group	Peak_Count	Ratio_Peak_Count	Repeat_Group
Terra	All	30276	100	All
Terra	All	27558	91.0226	No_R
Terra	All	2718	8.97741	Min_1R
Terra	All	30011	99.1247	No_4cR
Terra	All	265	0.875281	Min_4cR
Terra	Overlapping	810	100	All
Terra	Overlapping	546	67.4074	No_R
Terra	Overlapping	264	32.5926	Min_1R
Terra	Overlapping	636	78.5185	No_4cR
Terra	Overlapping	174	21.4815	Min_4cR
Terra	Non-Overlapping	29466	100	All
Terra	Non-Overlapping	27012	91.6718	No_R
Terra	Non-Overlapping	2454	8.32824	Min_1R
Terra	Non-Overlapping	29375	99.6912	No_4cR
Terra	Non-Overlapping	91	0.308831	Min_4cR
R-loop	All	29167	100	All
R-loop	All	25498	87.4207	No_R
R-loop	All	3669	12.5793	Min_1R
R-loop	All	28994	99.4069	No_4cR
R-loop	All	173	0.593136	Min_4cR
R-loop	Overlapping	860	100	All
R-loop	Overlapping	624	72.5581	No_R
R-loop	Overlapping	236	27.4419	Min_1R
R-loop	Overlapping	687	79.8837	No_4cR
R-loop	Overlapping	173	20.1163	Min_4cR
R-loop	Non-Overlapping	28307	100	All
R-loop	Non-Overlapping	24874	87.8723	No_R
R-loop	Non-Overlapping	3433	12.1277	Min_1R
R-loop	Non-Overlapping	28307	100	No_4cR
R-loop	Non-Overlapping	0	0	Min_4cR
